B,S,O,P(Swing),P(Contact),P(Whiff),P(Foul),P(Ball),P(Strike),P(Hit),P(Out),P(Struck Out),P(Home Run),P(Extra Base Hit),P(In Play),P(Walk),P(Hit By Pitch),P(Error),P(Sacrifice),Statistically Relevant
0,0,0,29.9%,77.9%,22.1%,39.1%,37.2%,51.2%,3.9%,7.6%,0%,0.6%,1.5%,11.6%,0%,0.3%,0.1%,0.5%,Yes
0,0,1,31.9%,74.6%,25.4%,39.4%,38.0%,50.8%,3.7%,7.4%,0%,0.6%,1.3%,11.2%,0%,0.3%,0.1%,0.3%,Yes
0,0,2,32.0%,73.3%,26.7%,38.8%,38.8%,50.2%,3.7%,7.3%,0%,0.6%,1.4%,11.0%,0%,0.2%,0.1%,0%,Yes
0,1,0,48.5%,75.8%,24.2%,39.0%,40.0%,42.1%,5.6%,12.0%,0%,0.7%,1.9%,17.8%,0%,0.3%,0.2%,0.3%,Yes
0,1,1,49.4%,74.1%,25.9%,38.5%,39.7%,42.8%,5.7%,11.6%,0%,0.7%,1.8%,17.5%,0%,0.3%,0.1%,0.4%,Yes
0,1,2,48.5%,72.5%,27.5%,38.6%,40.9%,42.6%,5.1%,11.2%,0%,0.6%,1.7%,16.5%,0%,0.3%,0.1%,0%,Yes
0,2,0,50.5%,74.8%,25.2%,39.3%,46.0%,36.1%,5.4%,29.6%,17.3%,0.5%,1.5%,17.9%,0%,0.4%,0.2%,0.2%,Yes
0,2,1,51.0%,74.8%,25.2%,39.9%,45.4%,36.8%,5.6%,29.6%,17.5%,0.5%,1.7%,17.8%,0%,0.4%,0.2%,0.4%,Yes
0,2,2,50.2%,72.5%,27.5%,39.6%,46.3%,37.2%,5.2%,29.5%,18.4%,0.5%,1.6%,16.5%,0%,0.4%,0.2%,0%,Yes
1,0,0,42.2%,77.7%,22.3%,39.7%,33.1%,50.8%,5.5%,10.4%,0%,1.0%,2.2%,16.0%,0%,0.2%,0.1%,0.3%,Yes
1,0,1,43.3%,76.0%,24.0%,39.4%,33.9%,50.3%,5.4%,10.3%,0%,0.9%,2.1%,15.9%,0%,0.2%,0.1%,0.4%,Yes
1,0,2,42.7%,74.6%,25.4%,38.6%,34.5%,50.1%,5.0%,10.2%,0%,0.9%,2.0%,15.4%,0%,0.2%,0.1%,0%,Yes
1,1,0,54.6%,77.0%,23.0%,39.6%,33.8%,45.8%,6.8%,13.4%,0%,0.9%,2.5%,20.5%,0%,0.3%,0.2%,0.3%,Yes
1,1,1,54.4%,75.9%,24.1%,39.4%,34.6%,45.5%,6.5%,13.1%,0%,0.9%,2.2%,19.9%,0%,0.3%,0.2%,0.4%,Yes
1,1,2,53.7%,74.8%,25.2%,39.4%,35.5%,45.5%,6.0%,12.8%,0%,0.8%,2.2%,19.0%,0%,0.3%,0.2%,0%,Yes
1,2,0,57.9%,76.8%,23.2%,40.1%,38.3%,40.5%,6.7%,32.7%,18.5%,0.7%,2.0%,21.2%,0%,0.4%,0.2%,0.2%,Yes
1,2,1,57.8%,75.6%,24.4%,39.9%,38.2%,41.2%,6.4%,33.2%,19.3%,0.6%,1.9%,20.6%,0%,0.4%,0.2%,0.4%,Yes
1,2,2,56.4%,74.3%,25.7%,39.8%,39.7%,40.8%,6.2%,32.8%,19.7%,0.7%,1.8%,19.5%,0%,0.4%,0.2%,0%,Yes
2,0,0,41.0%,81.6%,18.4%,41.4%,30.6%,52.9%,5.7%,10.6%,0%,1.2%,2.6%,16.5%,0%,0.1%,0.1%,0.3%,Yes
2,0,1,42.8%,79.1%,20.9%,40.7%,31.0%,52.6%,5.6%,10.7%,0%,1.1%,2.4%,16.4%,0%,0.2%,0.1%,0.4%,Yes
2,0,2,42.3%,78.3%,21.7%,39.9%,31.3%,52.5%,5.2%,10.8%,0%,0.9%,2.2%,16.2%,0%,0.2%,0.1%,0%,Yes
2,1,0,58.0%,80.1%,19.9%,40.8%,28.8%,48.5%,7.4%,15.0%,0%,1.2%,2.9%,22.8%,0%,0.2%,0.2%,0.3%,Yes
2,1,1,58.3%,78.2%,21.8%,40.3%,29.1%,48.7%,7.4%,14.5%,0%,1.1%,2.7%,22.2%,0%,0.2%,0.1%,0.5%,Yes
2,1,2,57.0%,77.5%,22.5%,40.0%,30.2%,48.4%,6.9%,14.3%,0%,1.1%,2.6%,21.4%,0%,0.2%,0.2%,0%,Yes
2,2,0,65.0%,79.7%,20.3%,41.6%,30.2%,45.1%,7.9%,35.9%,19.4%,0.9%,2.5%,24.7%,0%,0.3%,0.3%,0.2%,Yes
2,2,1,64.5%,78.9%,21.1%,41.3%,30.8%,45.0%,7.7%,36.1%,19.9%,1.0%,2.6%,24.2%,0.0%,0.4%,0.2%,0.5%,Yes
